timestamp,run_id,story_id,player_name,chatter_model,rater_model,chatter_persona,rater_persona,eval_persona,turns,avg_latency_ms,total_tokens,canon_fidelity,character_voice,player_agency_respect,responsiveness,mystery_mechanics,immersion_quality,edge_case_resilience,overall_score,critical_failures,bugs,summary,deduction_notes
2026-02-17 10:11:42,9e4acbe1,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,12590,2263,5,4,5,4,3,5,5,4.2,,,"This conversation establishes an intriguing mystery and effectively builds tension through IU's character. However, some areas, such as responsiveness and mystery mechanics, need improvement.","[Character Voice 4/5] IU's tone and language are consistent with her being a nervous and haunted character. However, the description of 'shadows shifting' feels slightly over-the-top for this context. | [Responsiveness 4/5] IU's response to the player's question is somewhat delayed and indirect. She doesn't directly answer the question about what happened to the previous tenant. | [Mystery Mechanics 3/5] While IU provides some hints about the mysterious events in the apartment, she also implies that it's better not to think about them, which feels like a cop-out for a mystery game."
2026-02-17 10:16:25,e341cc44,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,5317,2251,5,4,5,5,4.5,5,4,4.6,,,"The NPC performance in this conversation is strong overall, with some minor areas for improvement.","[Character Voice 4/5] The voice of the girl is eerie and unsettling, fitting for a horror setting. However, some descriptions feel overly poetic (e.g., 'fragments of a distant memory'). | [Mystery Mechanics 4.5/5] NPC hints at dark events but doesn't provide concrete information. The pacing feels good, with a sense of foreboding and unease. | [Edge Case Resilience 4/5] The NPC handles unexpected inputs (the player asking about the previous tenant) effectively, providing a relevant response."
2026-02-17 12:53:01,0d787720,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,17035,2247,5,5,4,5,5,5,4,4.7,,; ,"This conversation demonstrates good canon fidelity, character voice, responsiveness, mystery mechanics, and immersion quality. However, some agency respect issues arise due to IU's fear-driven paralysis. Overall, the performance is strong but not perfect.","[Player Agency Respect 4/5] NPC doesn't narrate IU's actions or emotions, but instead responds to what IU says, showing some agency respect; however, IU is often frozen in place due to fear | [Edge Case Resilience 4/5] NPC handles IU's questions about the mysterious tenant's fate with care; however, some edge cases (e.g., direct confrontation) are not tested in this conversation"
2026-02-17 13:09:49,6c456d77,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,9316,2245,4,5,3,5,4,5,4,42.0,None,None,"The NPC's performance is strong overall, with a few areas for improvement in canon fidelity and player-agency respect.","[Canon Fidelity 4/5] Some minor inconsistencies with player's mental state and apartment description, but overall canon holds. | [Player Agency Respect 3/5] NPC occasionally narrates or implies player's thoughts/sensations (e.g., 'the air got heavier'), but not overly intrusive. | [Mystery Mechanics 4/5] Mystery pacing is engaging, but some plot threads may be too conveniently revealed (e.g., 'the young woman appears' without much buildup). | [Edge Case Resilience 4/5] NPC handles unexpected inputs (e.g., 'why are you so scared?') well, but some responses feel a bit too generic or formulaic."
2026-02-17 14:30:16,534e3ab9,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,12843,2249,5,4,5,5,4,5,4,4.1,None,None,"The NPC provides a fitting and unsettling response to the player's question. While they don't reveal too much, they create an eerie atmosphere that immerses the player in the situation. However, some aspects of their behavior are unclear or unexplained.","[Character Voice 4/5] The NPC's voice is distinct and fitting for the situation, but occasionally slips into overly dramatic language (e.g., 'the air thickens with an unsettling tension'). | [Mystery Mechanics 4/5] The NPC provides some clues and hints about the situation, but doesn't reveal too much. However, it's unclear how the NPC knows the previous tenant was trapped or what 'something bad' happened. | [Edge Case Resilience 4/5] The NPC handles the player's question about the previous tenant fairly well, but doesn't provide any clear explanation for why they're still there or how they can feel the player."
2026-02-19 08:59:24,14064737,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,5117,2254,4,5,4,5,4,5,4,4.3,,,"A solid start to the narrative, maintaining a creepy atmosphere and addressing player's questions. Some minor issues with agency respect and mystery mechanics.","[Canon Fidelity 4/5] NPC's description of air growing heavier matches player's earlier account. However, no direct canon reference to 'forgotten memory trying to break free'. Still a good attempt at atmosphere. | [Player Agency Respect 4/5] NPC doesn't directly narrate the player's actions or thoughts. However, 'forgotten memory trying to break free' could be seen as a minor infraction of agency respect. | [Mystery Mechanics 4/5] The pace of mystery unfolds well. However, no clear clues or hints about IU's presence beyond her being in the closet. | [Edge Case Resilience 4/5] NPC handles player's question fairly. However, doesn't address the immediate concern of 'why I'm scared' in a clear manner"
2026-02-19 10:31:10,c516a0dc,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,8076,2239,5,5,5,4,5,5,4,4.7,,,"This interaction demonstrates a strong start for IU as an NPC, with effective canon fidelity, voice, and mystery pacing. However, there are opportunities for improvement in responsiveness and edge-case resilience.","[Responsiveness 4/5] IU responds thoughtfully and emotively to the player's inquiry about the previous tenant. Her answers provide some insight into her experiences. | [Edge Case Resilience 4/5] IU's responses to unexpected inputs (player's question about the previous tenant) are thoughtful and engaging. However, the NPC could benefit from more creative handling of edge cases."
2026-02-19 15:51:47,939aa4da,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,12956,2439,5,4,3,4,5,5,4,4.1,canon_fidelity (player_agency_respect): The NPC narrates the player's sensations and actions.,,,"[Character Voice 4/5] The NPC's voice is consistent with a scared and traumatized ghost. However, some phrases like '*The air thickens...' feel slightly too formal. | [Player Agency Respect 3/5] The NPC starts narrating the player's sensations and actions (e.g., 'the cold hit deeper than usual', 'you turned away...'). This is a canon violation, as the ghost should only know its own experiences. | [Responsiveness 4/5] The NPC responds well to the player's question about the previous tenant. However, it doesn't directly address the query in a straightforward manner. | [Edge Case Resilience 4/5] The NPC handles unexpected inputs (e.g., the player's question) reasonably well. However, it doesn't fully address the query in a way that feels satisfying."
2026-02-20 12:47:21,b4f7a158,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,14346,4259,5,5,4,5,5,5,4,4.8,None,None,"The NPC's performance is strong, with a clear and nuanced voice that effectively conveys the mystery and tension. The narrative is well-paced and engages the reader. However, there are some areas where the LLM could improve, such as better handling of unusual inputs and more nuanced responses to player questions.","[Player Agency Respect 4/5] The NPC occasionally refers to the player's body and actions (e.g., 'your body obeyed you again' in Turn 9). | [Edge Case Resilience 4/5] The NPC doesn't handle unusual inputs or edge cases well. For example, in Turn 10, the player asks 'what happened to the previous tenant?' and the NPC responds with an entire narrative. A more nuanced response would be more suitable for an LLM-generated character."
2026-02-20 14:38:21,342d441c,iu_murder_mystery,Alex,mistral:latest,llama3.1:8b,curious_rookie,expert_llm_grader,expert_llm_grader,1,7865,4371,4,5,3,5,4,5,4,4.1,NPC did not explicitly state that they knew their own death was in the closet,,"The NPC has a good understanding of its character identity and canon facts, but there are some minor inconsistencies. The conversation is engaging and well-paced, with effective use of mystery mechanics.","[Canon Fidelity 4/5] NPC mentions being found in closet and strangled. However, did not explicitly state she knew or remembered her own death. Suggests 'rumors' about a ghost story without confirming them. | [Player Agency Respect 3/5] NPC asks 'Why are you so scared?' but does not give the player space to answer or take action. Also, uses first person ('you don't know') which feels slightly intrusive. | [Mystery Mechanics 4/5] The NPC drops subtle hints but does not reveal too much information. The conversation raises questions and creates tension without feeling forced or unnatural. | [Edge Case Resilience 4/5] The NPC handles the conversation with ease and adaptability. However, it does not explicitly state how much information it has or what its limits are."
